title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
Miniature-size manuscript leaf,,,,,
Miracles of the Virgin,,,,Miracles of the Virgin,Miracles of the Virgin
Miscellany,,,,Miscellany,Miscellany
Missal,,,,Missal,Missal
Missal for Dominican use,,,,Missal,Missal
"Missal, noted",,,,Missal,Missal
Missale,,,,Missal,Missal
Missale estivalis quem comparavit Johannes laicus de rastorf quondam mrg’ coq’ne felicis memorie qui obit in vigilia s. margarethe ac cuius anniversarium datur dominis xxx solidi annuatim ad caritatem.,,,,Missal,Missal
Monastic life,,,,,
Moralia in Job,,,,Moralia in Job,Moralia in Job
Morte dell'Illustrissimo Signor Troilo Savelli,,,,Morte dell'Illustrissimo Signor Troilo Savelli,Morte dell'Illustrissimo Signor Troilo Savelli
Munshaʼāt-i Ḥaz̤rat-i Nābī Afandī,منشئات حضرت نابى افندى.,,,,
Murshid al-mutaʼahhil,,,,,
Music Manuscript,,,,,
Natāj al-fikr fī kashf asrār al-Mukhtaṣar,نتاج الفكر في كشف اسرار المختصر.,,,,
Naturalis Historia,,,,Naturalis Historia,Naturalis Historia
Niccolò di Giovanni Machiavelli receipt,,,,,
Nobilis et discretus vir dominus marcuspaulo de veneciis cum xxvi annis continuis,,,,Milione,Milione
Notarial document,,,,,
"Notebook of texts concerning armaments and ballistics, their production and construction, with plans of fortifications and several charts and diagrams of trajectories",,,,,
Noted service book.,,,,Service book,Service book
Notes of fines,,,,,
Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim ...,نسخة السجل الذي وجد معلقاً على المشاهد في غيبة مولانا الامام الحاكم.,,,,
Nuzʹhat al-mutaʼammil wa-murshid al-mutaʼahhil,,,,,
Observations upon the rise and progress of the late Rebellion against King Charles the First,,,,Observations upon the rise and progress of the late Rebellion against King Charles the First,Observations upon the rise and progress of the late Rebellion against King Charles the First
Office of Saint Emmeram,,,,,
On charms and talismans,,,,,
Opera varia,,,,,
Opusculum pulcherrimum de memorie naturalis reparatione,,,,De memorie naturalis reparatione,De memorie naturalis reparatione
Oratio,,,,Orationes,Orationes
Oratio pro se ipso <?>,,,,Orationes,Orationes
Orationes,,,,Orationes,Orationes
Orationes including Lucian of Samosata's Scipio,,,,Orationes,Orationes
Orationes itinerantium,,,,Orationes,Orationes
Order for peaceable behavior,,,,Order for peaceable behavior,Order for peaceable behavior
"Ordo ad confitendum de septem peccatibus mortalibus, et de condictionibus ea aggrauantibus, de x preceptis et vii virtutibus. De v sensibus et iii potentiis animae. De vii operibus misericordie corporalibus et sex spiritualibus Incipit prologus",,,,Ordo ad confitendum de septem peccatibus mortalibus,Ordo ad confitendum de septem peccatibus mortalibus
"Oreste e Pylade, a tragedy",,,,Oreste e Pylade,Oreste e Pylade
Organon and related texts,,,,Organon,Organon
Origine de Treviso,,,,,
Otia imperialia,,Otia imperialia,,Otia imperialia,Otia imperialia
Painted manuscript leaves,,,,,
Paludi Pontine,,,,,
Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb,پنجاه باب سلطانى بعلم اسطرلاب.,,,,
Panormia,,,,Panormia,Panormia
Pantheon,,,,,
Paradoxa,,,,Paradoxa,Paradoxa
Paschale carmen,,,,"Paschale carmen
","Paschale carmen
"
Passion play,,,,,
Pattern-book,,,,Pattern-book,Pattern-book
"Pattern-book of bridles, bits and straps",,,,Pattern-book,Pattern-book
Penitential Psalms and fifteen Gradula Psalms,,,,Psalter,Psalter
Peri Hermenias,,,,Periermenias,Periermenias
Periermenias Aristotelis ... etc,,,,Periermenias,Periermenias
Persian Calligraphy in Cloudbands,,,,,
Petrus Gravina Tristano Caracciolo. S. D.,,,,,
Phaedon,,Phaedo.,,Phaedo,Phaedo
Phalaridis Epistolae,,,,Phalaridis Epistolae,Phalaridis Epistolae
Philosophical material,,,,,
Philosophical material (?),,,,,
Physica,,,,Physics,Physics
Plays (two),,,,,
Plinii Veronensis de Viris illustribus Liber incipit feliciter. In nomine domini,,,,De Viris illustribus,De Viris illustribus
Poem,,,,,
Poem addressed to Jerome,,,,,
Poem on Naples,,,,,
Poems,,,,,
Poems and epigrams,,,,,
Poems based on the Seven Penitential Psalms,,,,Poems on the Seven Penitential Psalms,Poems on the Seven Penitential Psalms
"Poems, letters, prose",,,,Poems; Letters,Poems; Letters
Poetry,,,,Poems,Poems
Pontifical,,,,Pontifical,Pontifical
Pontifical and Missal,,,,Pontifical; Missal,Pontifical; Missal
Postilla in libro Ecclesiastico,,,,Commentary on Ecclesiastes,Commentary on Ecclesiastes
Postilla super totam Bibliam,,,,Commentary on the Bible,Commentary on the Bible
Practicks of the law of Scotland,,,,,
Prayer,,,,Prayers,Prayers
Prayerbook,,,,Prayers,Prayers
Prayers,,,,Prayers,Prayers
Prayers and devotional poems,,,,Prayers; devotional poems,Prayers; devotional poems
Prefaces to martyrologies,,,,Martyrologies,Martyrologies
Privilegia et documenta de monasterium S. Zenonis aiorii Veronae spectantia ab anno 883 usque ad annum 1533,,,,Privileges,Privileges
Pro Cluentio,,,,Pro Cluentio,Pro Cluentio
Probi Emilii liber de excellentissimus ducibus exterarum gentium feliciter incipit,,,,De excellentibus ducibus exterarum gentium,De excellentibus ducibus exterarum gentium
Processional,,,,Processional,Processional
Processional; Astronomical Text binding fragment,,,,Processional; Astronomy,Processional; Astronomy
Prologue to Liber questionum hebraicarum in Genesim,,,,Liber quaestionum Hebraicarum in Genesim,Liber quaestionum Hebraicarum in Genesim
Prologue to the Vitaspatrum Life of Macarius,,,,Life of Macarius,Life of Macarius
"Prothocolus abreuiatura, copies of notarial instruments documenting purchases, sales, debts, and last wills and testaments, etc",,,,,
Psalms and Canticles,,,,Psalter,Psalter
Psalter,,,,Psalter,Psalter
Psalter for choir use,,,,Psalter,Psalter
Psalter of the Virgin,,,,Psalter,Psalter
"Psalter, diurnal",,,,Psalter,Psalter
"Psalter, ferial",,,,Psalter,Psalter
Quadragesimale,,,,Quadragesimale,Quadragesimale
Questiones logicales ... etc,,,,Questiones logicales,Questiones logicales
Questiones Super Secundo Sententiarum,,,,Questiones Super Secundo Sententiarum,Questiones Super Secundo Sententiarum
Questions and answers on Shiʻī religious philosophy and practice,,,,,
Quinque libri Egesippi nacione Judei de excidio iudeorum,,De bello Judaico.,,De bello Judaico,De bello Judaico
Quit claim,,,,Quitclaim,Quitclaim
Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.,,,,Unigenitus Dei Filius,Unigenitus Dei Filius
Quodlibeta / James of Viterbo ...et al,,,,Quodlibet,Quodlibet
Quotations,,,,,
Qur'ān leaf,,Qurʼan.,قرآن.,Qurʼan,Qurʼan
Quran Leaf,,,,Qurʼan,Qurʼan
Quran Leaves,,,,Qurʼan,Qurʼan
Qurʼān leaves,,Qurʼan.,قرآن.,Qurʼan,Qurʼan
Qurʼān selections and prayers,,Qurʼan.,,Qurʼan,Qurʼan
Rabanus de origine rerum,,,,De rerum naturis,De rerum naturis
"Ranulph Higden, Polychronicon Translation by John Trevisa",,,,Polychronicon,Polychronicon
Ratification,,,,,
Rawḍat al-ʻulamāʼ wa-nuzʹhat al-fuḍalāʼ,,,,,
Rayḥānat murtāḥ min Kitāb Rayḥān al-arwāḥ,,Rayḥān al-arwāḥ,,Rayḥān al-arwāḥ,Rayḥān al-arwāḥ
Readings on Statutes,,,,,
Receipt,,,,Receipts,Receipts
Receipt book,,,,Receipts,Receipts
"Receipt for 180 livres, 1664 August 11, France",,,,,
"Receipts, 1600 April? 13, Episcopal palace, Paris, for la somme de 39 escus",,,,,
Recipe against worms,,,,Medicine miscellany,Medicine miscellany
Recueil de diverses recettes médécinales,,,,Medicine miscellany,Medicine miscellany
Re'gime du corps,,,,Régime du corps,Régime du corps
Register of accounts,,,,,
"Register of families serving as members of the Nuremberg Council (eighty-five), other office-holding families (twenty-three), and other influential families (twenty-eight), with descriptions of their coats of arms and other information culled from annals, church memorials, and other archival records from the 12th-17th centuries",,,,,
Registrum Alphabeticum super octo libros Ptolomei Incipit feliciter,,,,Registrum Alphabeticum,Registrum Alphabeticum
Registrum aplphabeticum super octo libros Ptolomei,,,,Registrum Alphabeticum,Registrum Alphabeticum
Regule parvorum,,,,,
Relazione d'Inghilterra,,,,Relazione d'Inghilterra,Relazione d'Inghilterra
Religiosorum status triplex,,,,Religiosorum status triplex,Religiosorum status triplex
Religious text,,,,Religious text,Religious text
Report of a miracle,,,,Miracles,Miracles
Requiem Mass and Office for the dead,,,,Office for the dead,Office for the dead
Rhetorica ad Herennium,,,,Rhetorica ad Herennium,Rhetorica ad Herennium
Rhyming verse,,,,Poems,Poems
Rime disperse,,,,Rime disperse,Rime disperse
Risālah bar usṭurlāb,رساله بر اسطرلاب.,,,,
Risālah fī al-dukhān,,,,,
Risālah fī al-khiḍāb,,,,,
Risālah fī al-qahwah,,,,,
Risālah fī al-siwāk,,,,,
Risālah fī bayān ḥadd al-khamr,,,,,
Risālah fī bayān ḥurmat al-khamr,,,,,
Risālah fī faḍīlat al-ʻimāmah,,,,,
Risālah fī ḥukm libs al-aḥmar,,,,,
Risālah fī shurb al-dukhān,,,,,
Risālat al-hawātif,,,,,
Roger Bigod deed,,,,,
Roman law,,,,Roman law,Roman law
Royal Writ,,,,,
Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,,,,Sententiae,Sententiae
Rule,,,,Rules,Rules
Rule of Living,,,,Rule of Living,Rule of Living
Rules of the Brotherhood of the Archangel Michael,,,,Rules of the Brotherhood of the Archangel Michael,Rules of the Brotherhood of the Archangel Michael
Sabʻ samawāt li-sirr samāʼī,سبع سموات لسر سمائي.,,,,
Sacramentary,,,,Sacramentary,Sacramentary
Saint's Life,,,,Lives of the Saints,Lives of the Saints
Saints Lives,,,,Lives of the Saints,Lives of the Saints
Saints lives,,,,Lives of the Saints,Lives of the Saints
Saṃkṣepaśārīraka,संक्षेपशारीरक.,Saṅkṣepaśārīraka.,,Saṃkṣepaśārīraka,Saṃkṣepaśārīraka
Saṃkṣepaśārīraka,"संक्षेपशारीरक,",Saṅkṣepaśārīraka.,,Saṃkṣepaśārīraka,Saṃkṣepaśārīraka
Sancti Anselmi oratio,,,,,
Sanctus hieronymus ad nepotianum de modo vivendi sic ait,,,,Epistola ad Nepotianum,Epistola ad Nepotianum
Satires,,,,Satires,Satires
Sayings,,,,Sayings,Sayings
Scholastic work,,,,Scholastic work,Scholastic work
Scholia in Novem Testamentum,,Bible.,,Bible,Bible
Scientific miscellany,,,,Scientific miscellany,Scientific miscellany
Scriptum super Sententiis,,,,Scriptum super Sententiis,Scriptum super Sententiis
Secreta secretorum (Secrets of Secrets),,,,Secrets of Secrets,Secrets of Secrets
Secundum consuetudinem ecclesie yspalensis,,,,Book of hours,Book of hours
Selections from commentaries on Alfīyat Ibn Mālik,,,,Commentaries on Alfīyat Ibn Mālik,Commentaries on Alfīyat Ibn Mālik
"Seneca, epistola cviiii",,,,,
"Seneca, epistola cxv",,,,,
Sententia ex Augustino delibitae,,,,Sententiae,Sententiae
Sentenzie,,,,Sententiae,Sententiae
Sentiarium libri quatuor,,,,Sententiae,Sententiae
Sequentiary with commentary,,,,Sequentiary,Sequentiary
Sequitur ad complectorium,,,,Ad complectorium,Ad complectorium
Sequitur invective Alani ad invidum et detractorem,,,,Invectiva ad invidum et detractorem,Invectiva ad invidum et detractorem
Sequitur liber octavus lactantii firmani de ira dei ad donatum,,,,De ira Dei,De ira Dei
Sermo Beati Bernardi de perfectione monastice discipline,,,,Sermo de perfectione monastice discipline,Sermo de perfectione monastice discipline
"Sermo beati bernardi de perfectione monstice discipline Incipit, lege foeliciter",,,,Sermo de perfectione monastice discipline,Sermo de perfectione monastice discipline
Sermo Beati Bernardi de regno Christi et diaboli,,,,De regno Christi et diaboli,De regno Christi et diaboli
Sermo beati bernardi de regno christi et diaboli,,,,De regno Christi et diaboli,De regno Christi et diaboli
Sermo de spiritu sancto,,,,Sermo de spiritu sancto,Sermo de spiritu sancto
Sermo in traditione simboli,,,,,
"Sermo sancti bernardi de perversitate quorundam religiosorum, Lege feliciter",,,,,
Sermon,,,,Sermons,Sermons
Sermones,,,,Sermons,Sermons
Sermones,,Miscellany,,Sermons,Sermons
Sermones de Tempore et de Sanctis; Summa Sermonum (fragment),,,,Sermones de Tempore et de Sanctis; Summa Sermonum,Sermones de Tempore et de Sanctis; Summa Sermonum
Sermons,,,,Sermons,Sermons
Sermons and Epistles,,,,Sermons; Epistles,Sermons; Epistles
Sermons for the temporale,,,,Sermons for the temporale,Sermons for the temporale
"Sermons of Barnardine Ochine of Sena, Godly frutfull and very necessary for all treue Christians translatid owt of Italian into Englishe",,,,Sermons,Sermons
"Sermon-writing aid, in alphabetical order",,,,Sermons,Sermons
Seven petitions of the Lord's Prayer,,,,Seven petitions of the Lord's Prayer,Seven petitions of the Lord's Prayer
Shah-nameh,,Shāhnāmah,,Shāhnāmah,Shāhnāmah
Shānāmah,,Shānāmah,,Shāhnāmah,Shāhnāmah
Shaqāʼiq al-utrunj fī raqāʼiq al-ghunj,,,,,
Sharḥ al-muqaddimah al-Qurṭubīyah... etc,شرح المقدمة القرطبية... إلخ.,,,,
Sharḥ ashkāl al-taʼsīs,شرح أشكال التأسيس.,,,,
Sharḥ Ayyuhā al-walad,,,,,
Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik,شرح مختصر على ألفية ابن مالك.,,,,
Sharḥ Qaṭr al-nadā wa-ball al-ṣadā,شرح قطر الندا وبل الصدا.,,,,
Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm,شرح عصاى مخترع هماىون پادشاه. گنج نهان خانه حي قدىم.,,,,
Sharḥ-i Nahj al-balāghah,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah.,شرح نهج البلاغة.,Sharḥ-i Nahj al-balāghah,Sharḥ-i Nahj al-balāghah
Sharḥ-i ṣad kalimah-i Baṭlamiyūs,شرح صد کلمه بطلمىوس,,,,
Sharḥ-i Zīj-i Ulugh Bēg,شرح زيج الغ بيگ.,Sharḥ-i Zīj-i jadīd-i Sulṭānī.,شرح زيج جديد سلطانى.,Sharḥ-i Zīj-i jadīd-i Sulṭānī,Sharḥ-i Zīj-i jadīd-i Sulṭānī
Shesh kenafayim,,,,Shesh kenafayim,Shesh kenafayim
Śārīrakamīmāṃsābhāṣya,"शारीरकमीमांसाभाष्य,",,,,
Śārīrakamīmāṃsābhāṣya,शारीरकमीमांसाभाष्य.,,,,
Sidonius Apollinaris to Agricola,,,,,
Single leaf with illustration,,,,,
Sirr al-asrār fī ʻilm al-āthār ; Shamsīyah fī al-kashf ʻan mā awdaʻ fī al-Jadāwil al-zahrīyah,سر الاسرار في علم الاثار ؛ شمسية في الكشف عن ما أودع في الجداول الزهرية.,,,,
Six antiphonal vellum leaves,,,,Antiphonary,Antiphonary
Sonnets,,,,Sonnets,Sonnets
Speculum ecclesiae sive expositio missae,,,,Expositio missae sive Speculum ecclesiae,Expositio missae sive Speculum ecclesiae
"Speculum historiale, Books 25-28",,Speculum historiale.,,Speculum historiale,Speculum historiale
Statuta Angliae,,,,Statuta Angliae,Statuta Angliae
Statuta nova (New Statutes),,,,New statutes,New statutes
Statuta vetera (Old Statutes),,,,Antiqua statuta,Antiqua statuta
Statuta vetera (Old statutes),,,,Antiqua statuta,Antiqua statuta
Statutes of a confraternity,,,,,
Statutum habelle communum et terrarum Barge,,,,,
Stephen Langton Interpretation of Hebrew Names of Bible,,,,"Interpretationes Hebraicorum nominum
","Interpretationes Hebraicorum nominum
"
Suma de las relaciones de Logroño a cerca de las brujas,,,,,
Summa codicis,,,,Summa codicis,Summa codicis
Summa contra gentiles,,,,Summa contra gentiles,Summa contra gentiles
Summa de casibus conscientiae,,,,Summa de casibus conscientiae,Summa de casibus conscientiae
Summary of the Moralia in Job,,,,Moralia in Job,Moralia in Job
Summer Missale,,,,Missal,Missal
Sureties for peaceable behavior,,,,Sureties for peaceable behavior,Sureties for peaceable behavior
Synonyma,,,,Synonyma,Synonyma
Table of Contents,,,,Table of contents,Table of contents
Tabula aurea,,,,,
Tabula Ethicorum Aristotelis,,,,,
Tabula Moderna,,,,,
Tabulae directionum et profectionum,,,,Tabulae directionum et profectionum,Tabulae directionum et profectionum
Tabule illustrissimi principis regis alfonsii ... etc,,Alphonsine Tables.,,Alphonsine tables,Alphonsine tables
Tadhkirat al-mudhakkirīn wa-tafkirat al-mufakkirīn,,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية.,,,,
Talbīs Iblīs,,,,,
Tanbīh al-ghāfilīn,,,,Tanbīh al-ghāfilīn,Tanbīh al-ghāfilīn
Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn,تنبيه الغافلين وايضاح سبيل المرشدين.,Tanbīh al-ghāfilīn.,تنبيه الغافلين.,Tanbīh al-ghāfilīn,Tanbīh al-ghāfilīn
Tarjumah-ʼi khuṭab-i arbaʻīn,ترجمۀ خطب اربعین.,,,,
Tattvadīpaṇa,"तत्त्वदीपण,",,,,
Tattvaviveka,"तत्त्वविवेक,",Vedāntatattvaviveka,,Vedāntatattvaviveka,Vedāntatattvaviveka
Text,,,,,
text 1,,,,,
Text for monastic liturgical use (proto-breviary),,,,,
Texts on Italian history,,,,,
Théseus de Cologne,,,,Théseus de Cologne,Théseus de Cologne
The romance of Troilus and Criseida,,,,Troilus and Criseida,Troilus and Criseida
Theological material,,,,Theological miscellany,Theological miscellany
Theological material?,,,,Theological miscellany,Theological miscellany
Thesaurus pauperum ... etc,,,,Thesaurus pauperum,Thesaurus pauperum
"Three legal treatises on civil and ecclesiastical law, with medicinal recipes, and notes and accounts related to the quartering of soldiers, probably in and near Hertfordshire (Broxbourne, Hoddesdon, and Epping), dated from 1639-1647",,,,Legal treatises; Medicinal recipes,Legal treatises; Medicinal recipes
Ṭarīq al-hijratayn wa-bāb al-saʻādatayn,,,,,
Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino,,,,Sylloge epigraphica Turonensis de S. Martino,Sylloge epigraphica Turonensis de S. Martino
Tonary fragment,,,,,
Tractatum de spera ... etc,,Sphaera mundi,,Sphaera mundi,Sphaera mundi
Tractatus de horis canonicis ...et al,,Miscellany.,,Miscellany,Miscellany
Tractatus de maleficiis (Treatise on evil deeds),,,,Treatise on evil deeds,Treatise on evil deeds
Tractatus de militia,,,,Tractatus de militia,Tractatus de militia
Tractatus de veneno spirituali,,,,De veneno spirituali,De veneno spirituali
Tractatus iudiciarii ordinis divisus in octo partes sive subtractatus,,,,Tractatus iudiciarii ordinis,Tractatus iudiciarii ordinis
Tractatus Ricardi Heremite de emendacione Vite sive Regula vivendi,,,,Emendatio Vitae,Emendatio Vitae
Tractatus Ricardi Heremite de hoc nomine Ihesus,,,,De nomine Ihesu,De nomine Ihesu
Tractatus sancti bernardi de hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius,,,,De hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius,De hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius
Transfer of goods,,,,,
Trattato delle proportioni et proportionalità,,,,Trattato delle proportioni et proportionalità,Trattato delle proportioni et proportionalità
Travelog,,,,,
Travels of Sir John Mandeville,,,,Travels of Sir John Mandeville,Travels of Sir John Mandeville
Treatise of forest law,,,,,
Treatise on canon law,,,,Canon law,Canon law
Treatise on composing letters,,,,Treatise on composing letters,Treatise on composing letters
"Trumpet or organ? tablature, music notation principally to accompany sacred texts",,,,Tablature,Tablature
Tuffāḥ al-arwāḥ wa-miftāḥ al-arbāḥ,,,,,
Tuḥfat al-mulūk,تحفة الملوك.,,,,
Tuḥfat al-ruʼasāʼ fī baʻḍ mā warada fī al-nisāʼ,,,,,
Tuḥfat al-sullāk fī faḍl al-siwāk,,,,,
Tusculanae disputationes,,,,Tusculanae disputationes,Tusculanae disputationes
"Two documents relating to Halfhead Farm, near Shallowford in Staffordshire, 1660-1683",,,,Documents,Documents
Two leaves from a breviary,,,,Breviary,Breviary
Two Leaves from a French Gradual,,Gradual.,,Gradual,Gradual
Ulfat al-anām bi-al-amn wa-al-āmān,,,,,
Uṣūl al-handasah wa-al-ḥisāb /,اصول الهندسة والحساب /,Elements.,,Elements,Elements
Uṣūl al-handasah wa-al-ḥisāb. Fī bayān al-murabbaʻāt,اصول الهندسة والحساب. في بيان المربعات.,Elements.,,Elements,Elements
Ut autem non sillogizetur.,,,,,
Väterbuch,,,,Apophthegmata Patrum,Apophthegmata Patrum
Vāmanasūkta,"वामनसूक्त,",Vedas.,,Vedas,Vedas
Verses about Saint Martin,,,,Poems on St Martin,Poems on St Martin
Vesperale,,,,Vesperale,Vesperale
"Via salutis, del dieta",,Diaeta salutis,,Diaeta salutis,Diaeta salutis
Viaticum,,,,Viaticum,Viaticum
Viridiarum consolationis,,,,Viridarium consolationis,Viridarium consolationis
Virtutes Johannis,,,,,
Vita beati Francisci ...et al,,Lives of the Saints.,,Lives of the Saints,Lives of the Saints
"Vita del Re Alfonso d'Aragona, Re di Napoli",,,,,
Vita divi Ildefonsi per Julianum,,,,Vita Ildefonsi,Vita Ildefonsi
Vita Malchi monachi captivi,,,,,
Vita S. Pauli primi eremitae,,,,Life of St. Paul,Life of St. Paul
Vitae Caesarum,,,,The Twelve Caesars,The Twelve Caesars
Vitae sanctorum,,,,Lives of the Saints,Lives of the Saints
Vitaspatrum,,,,Lives of the Fathers,Lives of the Fathers
Vivaraṇatattvadīpaṇa,विवरणतत्त्वदीपण.,,,,
Volgare Expositione della Sacra et sancta Oratione,,,,Expositione della Sacra et sancta Oratione,Expositione della Sacra et sancta Oratione
Volgare Expositione della Sacra et sancta Oratione Dominica Fatta da Frata Piero del Paradiso. Ad Suora Raphaella de Bernardi Ho... in christo Come Madre a llui Carissima,,,,Expositione della Sacra et sancta Oratione,Expositione della Sacra et sancta Oratione
Wedding poem,,,,,
Will,,,,Will,Will
Will of Johanna Girard,,,,,
Will?,,,,Will,Will
Works,,,,,
Writ,,,,Writ,Writ
Writ of Praecipe,,,,Writ,Writ
Writ to require security,,,,,
Wycliffite material (?),,,,,
Ymage du monde,,Image du monde.,,Image du monde,Image du monde
Ynstruction of the ephimeredes,,,,"Opusculum astrologicum, ex diversorum libris, summa cura pro studiosorum utilitate collectum","Opusculum astrologicum, ex diversorum libris, summa cura pro studiosorum utilitate collectum"
Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى.,,,Z̲akhīrah-ʹi Khvārazmshāhī,Z̲akhīrah-ʹi Khvārazmshāhī
Ziyārat-i ʻĀshūrāʼ,زیارت عاشوراء.,,,Ziyārat-i ʻĀshūrāʼ,Ziyārat-i ʻĀshūrāʼ
