name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
"Muḥammad ʻAbd al-Ḥayy ibn ʻAbd al-Kabīr al-Kinānī al-Ḥasanī,",former owner.,محمد عبد الحي بن عبد الكبير الكناني الحسني،,,,,
"Mullā ʻAbbās Zīvarī, -1898,",former owner.,ملا عباس زيوري، -1898.,,,,
"Muʻāfá ibn Ismāʻīl, 1156 or 1157-1232 or 1233.",author,,http://id.loc.gov/authorities/names/no2007040478,,,
"Name scribbled on the leaf, s. XVI (?): James <?>. This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",former owner,,,,,
Nene,author,,,,,
Nicolaus Peranzonus (Niccolò Peranzone),author,,,,,
"No. 721 catalogue entry pasted to recto of flyleaf; ""Elizabeth Warder- February 1906"" on verso of flyleaf; apparently given to her son, Ralph Ellis, who donated it to the library in 1945.",former owner,,,,,
"Note dated the first of March, 1859, Ferrara; unidentified wax seal which reads ""... Biblioteca",former owner,,,,,
"Note of female ownership (ca. 1500); ""D. Bercé De courpont 1714, M (?)""; acquired by the Bancroft Library UC Berkeley ca. 1975. Previous call number 2MS BX2080 E87.",former owner,,,,,
Nr̥siṃhāśrama.,author,,,,,
"Nūr al-Dīn Darvīsh,",former owner.,نور الدين درويش،,,,,
Obscured early 16th-century ownership on f. 1; acquired from H.P. Kraus by Karl F. Morrison (b. 1936); his gift in 2003.,former owner,,,,,
"Obtained before December 1881 by Hamilton Cole (Grolier member, 1884-89) ; his sale (New York, 7 April 1890 n. 31, pl.), bought by Edward Bement (Grolier member, 1884-1931) who bequeathed it to the Grolier Club in 1932.",former owner,,,,,
Oderic Vitalis?,author,,,,,
"Offered for sale by Alan G. Thomas, London bookseller, in May 1970; given to the Lilly Library in 2006 by Rudolf and Marion Gottfried.",former owner,,,,,
Old number ‘849’ on verso; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,,,
"On back flyleaf, ""Emptus est iste liber pro septem florenis anno domini M CCCC lxx per Iohannem abbatem,"" of St. Mang, O.S.B. in Füssen; at secularization, the library went to the Oettingen-Wallerstein collection. Owned by Norman H. Strouse.",former owner,,,,,
"On f. 1, illegilbe even under ultra-violet light due to stain, ""Iste liber est monachorum <?> deputatus monasterii <sancte Marie ?> <?>."" On f. i verso in a modern Italian hand, ""14.6.13"" written over ""A.42000."" Adolph Sutro (1830-1898), mayor of S. F.",former owner,,,,,
"On f. 121, rubric for St. John the Baptist ""patroni ordinis nostri et ecclesie huius""; Carthusians of Buxheim; in the sale of Hugo, Graf von Waldbott-Bassenheim (Munich, 20 September 1883, lot 2533); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"On ff. 105v, 109v-141v, in margins, notes of the Floriani family, 1591-1702, in areas near Bologna (S. Martino in Argile, S. Lorenzo del Castello di Budrio, Dozza; Budrio); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"On front pastedown, pressmark, ""a.37""; bookplate of Victor Albert George Child-Villiers (1845-1915), Earl of Jersey, Osterley Park; clipping from Sotheby's, lot 56; Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"Original folio number ""xxxiii"" in outer margin; Erik von Scherling, RotulusVII (1954): 2550",former owner,,,,,
"Ortenssio Barzella (1324); purchased by Sir Thomas Phillipps from Thorpe (1836), Phillipps n. 9323; bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers HOR 1, 2MS PA6393 A7 1300.",former owner,,,,,
Otto F. Ege (1888-1951); acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3375.E5.,former owner,,,,,
Otto F. Ege (1888-1951); acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3395.L764 l.,former owner,,,,,
Otto F. Ege (1888-1951)?; acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3363.L47.,former owner,,,,,
Otto F. Ege (1888-1951)?; acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3375.D713. Related material at Boston University School of Theology: STH MS leaves 65-66.,former owner,,,,,
"Otto F. Ege (1888-1951)?; acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3395.C485 l. Likely related to leaves sold at Sotheby's, 26 November 1985, lot 79; a related leaf is at Yale University: Beinecke Rare Book and Manuscript Library MS 682.",former owner,,,,,
"Ownership note, f. 1, ""Hic liber Oratius est Aristhei""; bequest of James K. Moffit to the Bancroft Library UC Berkeley (1956). Previous call numbers HOR 3, 2MS PA6393 C2 1500.",former owner,,,,,
"Ownership notes, mainly illegible, inside front cover, "". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
Ownership stamp of a Jesuit institution in Valencia; acquired in 1989 from P. Pirages.,former owner,,,,,
Papias,author,,,,,
"Part of Sotheby’s, 2 December 2003, lot 12; bought by the Lilly Library in 2007 from Phillip J. Pirages, cat. 54, no. 9",former owner,,,,,
"Part of the archive of Raffaello de’ Medici (1543-1628), of Florence; sale at Reiss & Sohn, Königstein, 21 October 2003, lot 647; bought by the Lilly Library from Quaritch, February 2004.",former owner,,,,,
Pascasius Radbertus,author,,,,,
Pedro Pascual,author,,,,,
"Pen trials in the margins, s. XVI, including some names: Thomas; Istud est <erasure>; Lumen (?) tito (?); <?>e<?>ino hadtens (?); John Skerrind (?).",former owner,,,,,
"Pencil foliation ""233""",former owner,,,,,
Perfecto Corazini,author,,,,,
"Perhaps Michel d’Ailly, sixth duc de Chaulnes (1714-1769, but not identifiable in his sale catalogue, Paris, 19 March 1770 and following days); probably George Watson Taylor (1771-1841), M. P. and owner of plantations in Jamaica, whose sale, Evans, 20 March 1823, included as lot 463, a fifteenth-century illuminated manuscript of Caesar and Suetonius, on vellum; Thomas Thorpe, cat. II (1823), no. 5745, and cat. III (1824), no. 16518; Sir Thomas Phillipps (1792–1872), bought from Thorpe, his MS 2665; his sale, Sotheby’s, 10 June 1896, lot 1182 (it was at one time in the library of the Duc de Chaulnes), unsold, re-offered 5 June 1899, lot 1107; Alfred Higgins, F.S.A. (d. 1903; bought in May 1903: he died in October), with his signature and booklabel; his sale, Sotheby’s, 2 May 1904, lot 228; Michael Tomkinson (1841-1921); his sale, Sotheby’s, 3 April 1922, lot 878, to Quaritch; C. L. Ricketts, bought in 1923; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Perhaps from an institutional library in Chartres dispersed at the French Revolution; Pierre Gélis-Didot (b. 1853), his sale, Paris, Belin-Drouot, 12 April 1897, lot 3; Cecil Mallaby Firth (1878-1931), Egyptologist, with his bookplate; George Dunn (1865-1912), with his booklabel, bought in March 1900, probably from Sydney Cockerell (to judge from Dunn’s pencil note ""S.C.C.""); Dunn sale, Sotheby’s, 11 February 1913, lot 356, to Young; bought the following day by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts collection in 1961.",former owner,,,,,
"Perhaps from the Dominican church of San Jacopo di Ripoli, Florence; Cortlandt Field Bishop (1870-1935); his sale, New York, Anderson, 12 April 1915, lot 293; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Perhaps the Benedictine monastery of Santa Giustina of Padua; price of £24 and date ""March 1920"" in pencil; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Perhaps the Carmelite convent in Chester; Richard Legh, of East Hall, High Legh, Cheshire, 1613; Richard Maria Domville (c. 1600-1667) who gave it in 1665 to Sir Peter Leycester (1614-1678), of Nether Tabley, Cheshire, and it apparently remained at Nether Tabley probably until the 1920s; broken up by Myers, bookseller of New Bond Street, London; leaves bought in 1930 by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Perhaps the Cistercian Abbey of Aulne (founded c. 656, Cistercian in 1147, suppressed 1796), and possibly from the Petrus Longobardus in Paulumrecorded at Aulne in the early seventeenth century (Sanderus 1641, I, p. 239); over 100 manuscripts from Aulne were bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872), his MSS 4621-4734, together with an unknown number of fragments; Phillipps MS 29507 (the ‘9’ written over ‘0’, as in Lilly Poole 39); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Perkins, Oliver Henry, -1912",former owner,,,,,
"Perry, Preston A.",former owner,,,,,
Peter of Poitiers,author,,,,,
Philip Jacob Grangier (1785); CSL assession number 18294.,former owner,,,,,
"Philipp von der Pflaz (1480-1541), prince bishop of Freising 1507-41, and presumably bequeathed by him to the Benedictine cathedral church of the Virgin Mary and Saint Corbinianus, Freising, founded in 1020 and suppressed in 1802; Henry Willett (1823-1905); his sale, Sotheby’s, 5 July 1905, lot 15, to E. Parsons; Parsons cat. 261 (1907), no. 455; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Piccolomini coat of arms, f.1; Thomas Thorpe (1833 catalogue, n. 793); Sir Thomas Phillipps (1792-1872), his n. 7380; acquired by the Bancroft Library UC Berkeley from Sotheby's (29 November 1966, lot 68). Previous call number 2MS uncat 1967 1.11.",former owner,,,,,
Piero del Paradiso,author,,,,,
Pierre Mathieu,author,,,,,
"Pierre Philippe Constant Lammens (1762-1836); Sir Thomas Phillipps (1792-1872), his n. 1279; acquired by the Bancroft Library UC Berkeley from Sotheby's (28 November 1967, lot 93). Previous call number f2MS PQ1475 G69.",former owner,,,,,
"Pierre Séguier (1588-1672); Pierre Jean Grosley (1718-1785); Frederick North (1766-1827); Sir Thomas Phillipps (1792-1872), his n. 24827 (originally Cheltenham 2937); acquired from Sotheby's (30 November 1965, lot 11). Formerly f2MS PQ1463 G25.",former owner,,,,,
"Pieter Bondam (1727-1800), of the University of Utrecht, with his extensive notes; perhaps his sale, Utrecht, 1 October 1800; Sir Thomas Sharpe Powell (1849-1927); his sale, Sotheby’s, 16 December 1929, lot 766; William G. Kelso, New York, bought from Lathrop Harper, 1930, with his notes inside front cover, dated June 1932; Sir Percival Victor David (1892-1964), of Friar Park, Henley, by 1938; W. E. D. Allen (1901-1973), of Cappagh, Co. Waterford; acquired by the Lilly Library with his collection in 1976.",former owner,,,,,
Pietro Gravina,author,,,,,
"Pithou, P.",former owner,,,,,
"Possibly owned by the renaissance writing-master Francesco Alunno (c. 1500-1556), of Ferrara, and probably acquired by Canon Giuseppe Antonelli (1803-1881), librarian of the Biblioteca comunale of Ferrara, with the patternbooks of Alunno; consigned, with one of the Alunno pattern-books, to Sotheby’s, 25 June 1867, among ""other properties"" added to the sale of Sir Thomas Gage (who did not own this manuscript, despite what is generally said), lot 457, £52. 10s. to Ellis; Quaritch, General Catalogue, 1868, p. 1080; William H. Crawford (1812-1888), of Lakelands, Blackrock, Cork, with his bookplate inside lower cover; his sale, Sotheby’s, 12 March 1891, lot 3248; Robert Hoe (1839-1909), of New York, with his leather booklabel, his by 1892, when it was exhibited at the Grolier Club; his sale, Anderson, New York, 24 April 1911, lot 2182, to G. D. Smith, for C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Premonstratensian abbey of Steinfeld, near Cologne, founded in 1130 and suppressed in 1802, with the contemporary inscription and curse against theft on fol. 1r, liber ecclesie sancte marie de steinfelt Si quis abstulerit anathema sit amen and the late medieval inscription on fol. 158v, Liber Ecclesie Sancte marie virginis in steinfelt(the last two words in slightly paler ink); other inscriptions include the numbers 255 and N. 14 and a note on fol. 1r dated 1447 recording an outbreak of the plague in the houses of Heinrich, count of Nassau, lasting from Michaelmas (29 September, 1446 presum-ably) to the feast of Saint John the Baptist (24 June the following year); Dr. Leander van Ess (1772-1847), of Darmstadt, his no. 26 (label on spine); Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 409, with his stencilled crest; his sale, Sotheby’s, 9 June 1910, lot 660, to Edwards; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Premonstratensian abbey of Tongerloo, province of Antwerp, Belgium, founded in 1128 and suppressed in 1796; Sir Thomas Phillipps (1792-1872), no number but probably from his acquisitions in Belgium in the early 1820s; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Presented to T. B. Ferrers by L. J. Mackintosh (1824); acquired by the Bancroft Library UC Berkeley from Sotheby's (5 December 1989, lot 99). Previous call number 2MS PA6393 A4 1450z.",former owner,,,,,
Previous call number 2MS DA25 B6.,former owner,,,,,
Previous call number 2MS DA25 R4.,former owner,,,,,
Previous call number 2MS HF417 L5.,former owner,,,,,
Previous call number 2MS uncat S67 3.4.,former owner,,,,,
Previous call number f2MS BS75 1200.,former owner,,,,,
"Price in English pounds on the recto, suggesting that the leaf may have been a gift to Conception Abbey from Dr. Charles D. Humberd (1876-1966) of Bernard, Missouri (buried in West Union, Indiana).",former owner,,,,,
Printed book given in 1840 to St. Peter's in Erfurt; George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.,former owner,,,,,
"Probably Marcantonio Morosini (c. 1435-1509), of Venice, with the Morosini arms on fol. 4r; Matteo Luigi Canonici (1727-1805), Venetian Jesuit; by descent to his brother, Guiseppe Canonici (d. 1807), and to Giovanni Perissinotti and Girolamo Cardina, who sold over 3000 of Canonici’s manuscripts to the Bodleian Library in Oxford in 1817 and 829 of the remaining manuscripts for 16,000 lire to the Rev. Walter Sneyd (1809-1888); Sneyd’s sale, Sotheby’s, 16 December 1903, lot 805; Leighton cat. 1908, no. 5793; sale at Sotheby’s, 16 May 1955, lot 108; George A. Poole, bought from Lawrence Witten in 1956, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Probably from the cathedral of Lodi, about 20 miles south-east of Milan, Lombardy (see below); C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Probably the Benedictine monastery of San Domenico in Sora (see below); Ernst F. Detterer (1888-1947), bought in July 1931 from Emil Hirsch, bookseller in Munich; bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
Provenance,former owner,,,,,
"Psalm numbers ""143"" and ""144"", and paginated ""269"" and ""270"" in a late-medieval hand",former owner,,,,,
Pseudo Bernard of Clairvaux,author,,,,,
Pseudo Bonaventura,author,,,,,
Pseudo-Prosper,author,,,,,
"Purchased by Dawson Turner (1775-1858) in 1814; purchased by Quaritch at the Turner sale (Sotheby's, 7 March 1853, lot 1868); gift to the Bancroft Library by the Friends of The Bancroft Library (1984). Previous call number 2MS BX2080 B7 146x.",former owner,,,,,
"Purchased by John Herbst from Glenn Books, Kansas City, MO. Donated IN 2014 to the Karen Gould Collection, Nelson-Atkins Museum of Art.",former owner,,,,,
"Purchased by Karen Gould (1946-2012) from Pageant Book and Print Shop, New York. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
Purchased by Karen Gould (1946-2012) from William Linehan Autographs on 26 July in the 1980s. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
"Purchased by Lewis Gould from Vendor Galena Books, Galena, Illinois, 2014. Gift of Lewis Gould to the Karen Gould Collection, Nelson-Atkins Museum of Art in in his wife's memory.",former owner,,,,,
"Purchased by Linda Ehrsam Voigts from Philip Pirages, and given by her in 2012 to the Karen Gould Collection of the Nelson Atkins Museum of Art.",former owner,,,,,
Purchased ca. 2000 from a book dealer.,former owner,,,,,
"Purchased from Bernard Halliday (cat. 273, no. 549)",former owner,,,,,
Purchased from Bernard M. Rosenthal in 1975,former owner,,,,,
"Purchased from Davis and Orioli by James K. Moffit (1933); bequest of Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers HOR 2, 2MS PA6393 A7 1400.",former owner,,,,,
"Purchased from Payne and Foss by Sir Thomas Phillipps (1833), his n. 8124; acquired by the Bancroft Library UC Berkeley from Sotheby's (27 June 1966, lot 341). Previous call number 2MS PQ4623 F15.",former owner,,,,,
"Purchased from Richard Linenthal, London, 2014, from the Karen Gould Collection Fund.",former owner,,,,,
"Purchased in 1956 from William Salloch (cat. 147, no.690)",former owner,,,,,
"Purchased in Europe by Prof. John A. Anderson (1893-1976); his gift prior to 1952, else donation in 1956 of Mrs. Anderson. Previous manuscript call number: FBX2080.A2 13--.",former owner,,,,,
"Purchased with Karen Gould Collection fund from Richard Linenthal, London, 2014 for Karen Gould Collection, Nelson-Atkins Museum.",former owner,,,,,
"Qarabāghī, Muḥammad ibn ʻAlī, -1535 or 1536.",author,,http://id.loc.gov/authorities/names/no2006104905,,,
"Qāḍīʹzādah, Mūsá ibn Muḥammad, -approximately 1436.",author,"قاضي‌زاده، موسى بن محمد, -approximately 1436.",,,,
"Quaritch, Handlist of Books offered for Sale by Bernard Quaritch Ltd., of 11 Grafton Street, London, W.1, whose representative, Mr. F. S. Ferguson, will have them on view at the Vanderbilt Hotel, Park Avenue, New York, towards the end of February, 1923, and for some weeks thereafter, 1923, no. 26; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Qusṭanṭīn ibn Lūdūlf,",former owner.,قسطنطين بن لودولف.,,,,
"Quṭb al-Dīn al-Iznīqī, Muḥammad ibn Muḥammad, d. 1418.",author,,,,,
"Qūnawī, ʻAlī.",author,,,,,
"Rajbānī, Muṣṭafā ibn Salīm ibn ʻAbd al-Qādir,",former owner.,رجباني، مصطفا بن سليم بن عبد القادر.,,,,
"Raphael de Mediolano, Frater",former owner,,,,,
"Rawghanī, Muḥammad Ṣāliḥ ibn Muḥammad Bāqir, -1632 or 1633.",author,روغنى، محمد صالح بن محمد باقر، - -1632 or 1633.,,,,
"Rājārāmabhaṭṭa,",former owner.,,,,,
"Rāzī, Muḥammad ibn Abī Bakr, active 1261.",author,,http://id.loc.gov/authorities/names/n82240060,,,
"Received ca. 1928 from estate of Henry Janeway Hardenbergh (i.e., the architect of this name who d. 1919?). Earlier manuscript call number: BA (St. Agathe at Aschafensburg, Church of).",former owner,,,,,
"Recovered from use as a pastedown in Boethius, De consolatione philosophiae Louvain, 1487, bound in Oxford by the binder who used Gibson’s roll XII; Sotheby’s, 5 February 1951, lot 54; Gaston Ruddoff, of Santiago, Chile; acquired from his family by the Lilly Library.",former owner,,,,,
"Removed from the binding of Summerfield C416 (Bacci, De naturali, Rome, 1597)",former owner,,,,,
"Rev. Henry Drury (1778-1841); Sir Thomas Phillipps (1792-1872), his n. 9252; J. Martini (cat. XIX, n. 20*); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 30, 2MS PA S6P2.",former owner,,,,,
Rev. J. C. Jackson,former owner,,,,,
"Richardson, Thomas F.",former owner,,,,,
"Robert Lang; his sale, Evans, (17 November 1828, lot 2337), to Payne; Sir Thomas Phillipps (1792-1872), his n. 3636; acquired by the Bancroft Library, UC Berkeley from Sotheby's (25 November 1969, lot 468). Previous call number f2MS PQ1533 T57.",former owner,,,,,
"Robert de Hangest; Beauvais Cathedral; Brölemann sale at Sotheby's, 5 May 1926, lot 161; Otto F. Ege (1888-1951); acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3375.F889. Related leaves exist in various institutions.",former owner,,,,,
"Robinson, Philip,",former owner.,,,,,
"Rosenthal, antiquarian bookdealer in Munich; Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"Rudradeva, 18th cent.",author,,,,,
Saccano arms at foot of f. 15r; owner's inscription at foot of f. 1r with the name of Paulus Gallus; from the library of Don Mattheus de Barresio dated 1531 on f. 309r.,former owner,,,,,
Sarvajñātman.,author,,,,,
"Sayyid Muṣṭafá, active 1849,",scribe.,سيد مصطفى، active 1849،,,,,
Sextus Pythagoricus,author,,,,,
"Shāfiʻī, Shams al-Dīn.",author,شافعي، شمس الدين.,,,,
"Shirwānī, Muḥammad al-Amīn ibn Ṣadr al-Dīn, -1626 or 1627.",author,شرواني، محمد الامين بن صدر الدين، -1626 أو 1627.,,,,
"Shore, Offley Bohun Stovin Fairless, 1863-1922,",former owner.,,,,,
Sidonius Appolinaris,author,,,,,
"Signature Ann MoneyIon fol. 84r, probably eighteenth-century; George C. Thomas (1839-1909), banker and picture collector; his sale, Philadelphia, 18 November 1924, lot 205; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Signature, ""E. R."" (15th century); armorial bookplate of Francis Jack Needham, 2nd Earl of Kilmorey (1787-1880); gift of Phoebe A. Hearst to the Bancroft Library UC Berkeley (ca. 1890). Previous call number t2MS BX2033 A2 1300.",former owner,,,,,
Sir Richard Sakevylle,former owner,,,,,
"Sir Thomas Brooke (1830-1908); bequest of James K. Moffitt to Bancroft Library UC Berkeley 1956. Previous call numbers MAR 39, 2MS B665 D2.",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his n. 25905; acquired by Bancroft Library UC Berkeley with the library of C. T. Ogden (1957). Previous call number 2MS BS490 C6.",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his n. 3516; purchased in 1955 from Bernard Halliday cat. 273, n. 17",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his n. 418; Joseph Martini (cat. XXVII, n. 7); bequest of James K. Moffitt to Bancroft Library UC Berkeley (1956). Previous call numbers MAR 22, t2MS BV468 H9.",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his n. 5861",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his n. 9677",former owner,,,,,
"Sir Thomas Phillipps (1792-1872), his no. 12281; Bernard M. Rosenthal cat.12, item 44; bookplate on front paste-down of Robert T. Aitchison (1887-1964)",former owner,,,,,
"Sir Thomas Phillipps, his MS 9391.",former owner,,,,,
"Sir Thomas Phillipps; William H. Robinson Ltd., with the typical inscriptions ""10th century"" and ""9"" encircled.",former owner,,,,,
"Sir Thomas Phillipps; William H. Robinson Ltd., with the typical inscriptions ""12th century"" and ""6"" encircled.",former owner,,,,,
"Sir Thomas Phillipps; William H. Robinson Ltd., with the typical inscriptions ""XIIIth century"" and ""53"" encircled.",former owner,,,,,
"Sir Thomas Phillips (1792-1872), part of his MS 22254; bought by Tregaskis at the Phillips sale, Sotheby's, 25 April 1911, lot 391; Tregaskis cat. 706 (1911), no. 17, and cat. 720 (1912), no 36; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Sir Thomas Smith,author,,,,,
"Sixteenth-century calligraphic signature W: Newmanat end; Ralph Palmer (1684-1752), first earl Verney, of Little Chelsea, near London, with his armorial bookplate and partially-erased inscription Bibliotheca Palmeriana, Londini, 1747 by descent to Sotheby’s, 12 November 1919, lot 187; Sir (Robert) Leicester Harmsworth (1870-1937); his sale, Sotheby’s, 15 October 1945, lot 2089; George A. Poole, bought from Lawrence Witten, 1957; acquired by the Lilly Library with the Poole collection in 1958.",former owner,,,,,
"Sold at Sotheby’s, 8 July 1974, lot 93; Eric Sexton (1902-1980), with his bookplate; his sale, Christie’s, New York, 22 May 1981, lot 9; Laurence Witten cat. 18 (1983), no. 48; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,,,
"Sold by Henry Allen to H. Davies (1926); acquired by the Bancroft Library UC Berkeley from Burgersdijk and Niermaus (1936). Previous call numbers, MAR 10, 2MS PA6304 L2M22.",former owner,,,,,
"Southeby's, 28 May 1934, lot 100, and then Dawson of Los Angeles?; Otto F. Ege (1888-1951); acquired (as gift from class of 1936?) by Rutgers' Douglass Library; transfer in 1997. Earlier call number (Douglass Library): ND3395.T2. Related leaf: Columbia University, Rare Book and Manuscript Library Med/Ren Frag. 4.",former owner,,,,,
"Space for a heraldic shield (f. 1r, lower border); inscribed ""C AF"" (the AF in monogram) and ""1595"" (f. 1r); purchased in 1969 from Bernard M. Rosenthal",former owner,,,,,
"St Emmeram, Regensburg, a Benedictine monastery founded in 739 and suppressed in 1802; Sir Thomas Phillips (1792-1872), his MS 6924, bought from the London bookseller Thomas Thorpe, c.1832; Messrs. W.H. Robinson, who bought the residue of the Phillips library in 1945-46; sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Stanitz, John D.,",former owner.,,,,,
"Sulaymān ibn Yūsuf ibn Sulaymān,",scribe.,سليمان بن يوسف بن سليمان.,,,,
"Sunbulī, Muḥammad Darvīsh Nūr al-Dīn, active 1862,",former owner.,"سنبلى، محمد درويش نور الدين، active 1862,",,,,
"Sunbulī, Muḥammad Darvīsh Nūr al-Dīn, active 1862,",former owner.,سنبلي، محمد درويش نور الدين، active 1862.,,,,
Surkhāb.,author,سرخاب.,,,,
"Survived as part of a binding with title ""Bulle unionis fratrum minorum""; acquired in 2000 from H.P. Kraus.",former owner,,,,,
"Survived as part of a binding; ""From Drew Theological. Seminary, March 31--1893."" Earlier call number: Ac. 3660.",former owner,,,,,
Survived as part of a binding; acquired from H.P. Kraus by Karl F. Morrison (b. 1936); his gift in 2003.,former owner,,,,,
Survived as part of a binding; acquired in 2000 from H.P. Kraus,former owner,,,,,
Survived as part of a binding; acquired in 2000 from H.P. Kraus.,former owner,,,,,
Survived as part of a binding?; probably in library for many decades.,former owner,,,,,
"Ṣabrī, ʻAbd al-Raḥmān ibn Aḥmad, d. 1726 or 7.",author,,,,,
"Ṣāḥibdād, Sayyid ʻImād al-Dīn ibn Sayyid Mubārak,",scribe.,صاحب‌داد، سيد عماد الدىن بن سيد مبارک.,,,,
"Ṣidqī, Khalīl,",scribe.,صدقي، خليل.,,,,
"Talaru family (late 15th century); ""Charles (?) amedee de martinengue 1660""; Jean Thomas Aubry (18th century); gift of James K. Moffitt to the Bancroft Library UC Berkeley, 1956. Previous call numbers, MAR 41, 2MS BX2080 1400.",former owner,,,,,
"Tatavī, Muḥammad Fāz̤il ibn Abū al-Faz̤l, active 1698,",scribe.,تتوى، محمد فاضل بن ابو الفضل، active 1698،,,,,
"The Abbey of St-Vaast in Arras; Sir Thomas Phillips (1792-1872), part of his MS 22229; from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillips Library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"The Augustinian nunnery of Sankt Maria Magdalena, Hildesheim, founded 1224 and suppressed at the Reformation; sale by Karl & Faber, Munich, 25 June 1963, lot 4; acquired by the Lilly Library from Lathrop Harper, New York, 1968.",former owner,,,,,
"The Cistercian abbey of Hautecombe, diocese of Geneva, suppressed in 1792; acquired in or after 1796 by Giacinto della Torre, P.S.A. (1747-1814), canon and later archbishop of Turin 1805-14, who gave it to the biblioteca del Semainario metropolitano, Turin, the library was dispersed c. 1954; the present two leaves were bought by George A. Poole in 1954 from C.A. Stonehill; acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
